974,35,129,12,107,10,238,12,499,35,24.568,1.6134,51.24,2.1153,48.107,4.7436,32,10.131,31.269,8.5279,974.31,0.085714,34.563,0.52,1.7639
770,28,138,18,118,11,108,20,401,32,14.214,2.2611,52.117,4.3033,27.721,5.9663,56.453,13.613,44.694,15.125,770.1,0.08,28.355,0.2608,1.5057
1215,43,136,12,141,16,177,12,762,52,14.626,1.1258,62.635,2.4976,23.433,2.5126,40.422,8.2739,21.995,3.6813,1215.7,0.083333,43.439,0.39236,2.0947
1002,59,131,10,104,9,217,9,550,51,21.646,1.1997,54.776,2.2227,39.642,3.5163,20.73,5.3419,36.176,7.8065,1004,0.20588,59.036,0.51557,2.2088
674,45,123,10,100,10,126,13,326,30,18.64,1.534,48.338,1.9333,38.683,4.1278,13.545,3.868,35.793,9.0496,675.56,0.27451,44.595,0.40638,2.0814
752,62,130,22,99,20,116,24,403,37,15.6,2.5276,53.754,4.1932,29.423,6.4171,65.282,15.959,75.718,11.154,753.99,0.23077,62.012,0.23077,1.9845
679,66,120,17,105,19,198,26,255,32,29.274,2.9851,37.532,3.3175,79.125,14.804,33.797,15.071,37.49,15.072,681.95,0.35294,65.898,0.25644,1.9034
700,19,126,17,102,11,215,15,257,17,30.701,2.233,36.748,2.3246,84.046,10.034,59.926,15.781,71.669,17.224,700.25,0.04,18.952,0.2944,1.3453
768,47,125,19,103,16,185,22,353,35,24.13,2.3521,46.035,3.5618,52.979,8.7678,58.78,17.52,67.331,14.771,768.95,0.28889,46.766,0.20296,2.1741
807,43,128,10,109,14,176,12,395,38,21.871,1.1603,48.866,2.4243,44.882,3.4838,23.734,7.7355,24.633,6.9615,807.64,0.32558,43.143,0.28177,2.0802
1018,130,129,13,101,25,203,35,585,74,19.801,1.9234,57.656,3.0406,34.588,4.9682,16.434,7.7773,29.289,17.58,1025.6,0.39394,129.78,0.20478,1.8702
1102,112,136,19,124,18,205,21,637,89,18.713,2.0165,57.628,3.4496,32.771,5.5061,20.208,9.1679,16.826,2.3982,1107.7,0.40741,112.09,0.27846,1.8589
925,59,138,14,110,15,237,14,441,48,25.696,2.3136,47.483,2.4073,54.426,7.1534,26.469,6.0756,31.215,9.0532,927.26,0.24324,59.376,0.33236,2.1146
1108,22,129,23,100,15,239,13,639,40,21.594,1.0959,57.66,3.0094,37.544,2.7374,32.983,9.0432,67.973,13.935,1108.6,0,22.375,0.17586,1.3976
930,54,122,15,121,21,246,22,442,43,26.441,2.6187,47.467,2.7256,56.091,7.9511,54.855,14.784,60.5,12.772,931.81,0.24324,54.288,0.24324,2.0309
988,44,130,18,117,16,202,17,539,39,20.388,1.5955,54.563,2.5885,37.463,3.6367,32.731,6.3815,41.675,9.0854,988.95,0.16667,44.131,0.28667,2.0268
925,33,120,9,110,10,217,9,477,29,23.585,1.3319,51.569,1.5592,45.825,3.6748,39.169,11.872,18.894,5.6099,925.43,0.13514,32.797,0.24763,1.6387
892,38,134,10,95,9,216,10,449,23,24.137,0.8452,50.257,1.1298,48.073,2.5186,16.778,3.6847,47.036,11.869,893.16,0.047619,38.197,0.33333,1.5008
880,18,126,9,101,6,164,8,490,16,18.526,0.71552,55.709,1.0766,33.273,1.5734,21.744,5.2142,31.206,6.7428,880.18,0.060606,18.028,0.32599,1.2803
645,21,127,10,98,7,142,11,278,14,21.987,1.5892,43.153,1.4306,51.056,4.6788,28.109,7.0747,37.768,11.172,645.61,0.09434,20.811,0.33855,1.4115
1142,68,122,13,125,14,258,12,637,52,22.709,1.4116,55.69,1.8444,40.879,3.6661,35.886,13.019,21.2,4.5345,1144,0.23333,67.945,0.25111,2.0721
1204,34,146,13,103,9,219,13,736,29,18.157,1.1007,61.145,1.4958,29.739,2.3393,20.374,3.7772,58.847,13.1,1204.7,0.10714,33.712,0.28061,1.8077
1302,71,143,14,103,7,241,11,816,65,18.615,1.0764,62.633,1.956,29.79,2.5528,35.77,7.1609,49.641,10.516,1303.7,0.27273,71.156,0.22314,2.0745
835,16,129,12,118,11,73,11,515,16,8.7407,1.302,61.676,1.8664,14.231,2.4824,57.204,6.9308,38.986,7.6264,834.93,0,16.2,0.25142,1.1323
958,62,130,10,114,12,182,9,533,51,18.976,1.1954,55.532,2.2187,34.286,3.3038,27.239,7.7565,27.842,5.8035,959.98,0.35484,61.613,0.27575,2.1017
892,51,126,15,112,16,209,16,445,41,23.473,2.2187,49.832,2.2604,47.316,6.0299,34.395,7.5042,32.265,11.845,893.22,0.28205,51.035,0.34254,2.2128
849,53,125,9,91,10,181,11,452,33,21.348,0.74602,53.197,1.0085,40.15,1.7238,11.589,2.139,40.49,8.2812,850.72,0.25714,52.545,0.40245,2.1962
1052,111,121,20,112,20,218,22,600,81,20.854,1.7291,56.935,3.0456,36.822,4.5218,39.931,14.294,29.237,11.005,1057.8,0.35714,111.2,0.29082,2.0131
794,22,124,13,107,15,139,13,424,24,17.497,1.6116,53.438,2.6426,32.902,4.261,37.683,13.609,35.781,11.644,794.35,0,22.043,0.21402,1.3492
761,54,130,19,97,16,234,19,300,29,30.901,2.2005,39.477,2.6314,78.848,10.219,30.486,7.0737,45.549,17.925,763.17,0.34783,53.897,0.18904,1.8785
1747,146,129,19,114,19,698,39,802,115,40.15,2.3876,45.776,3.539,88.53,11.498,45.566,16.295,32.855,11.613,1752.4,0.38889,145.68,0.23457,2.0911
1095,37,128,10,115,12,254,13,598,43,23.28,1.2497,54.539,2.4392,42.835,3.844,27.803,5.8652,46.14,11.031,1096.1,0.12903,36.773,0.33819,1.7096
948,140,128,32,104,23,239,32,478,76,25.296,1.6352,50.382,2.9915,50.434,4.9995,38.832,26.546,52.434,21.514,958.33,0.30556,139.99,0.15741,2.1223
1029,88,131,13,95,14,236,15,568,74,22.994,1.5708,54.993,3.0028,42.05,4.7807,38.297,10.014,57.034,17.332,1032.9,0.35714,88.357,0.25765,2.0789
903,34,135,12,102,11,229,12,436,30,25.455,1.5502,48.257,2.1818,52.947,5.128,30.017,6.5668,58.484,12.436,903.83,0.22581,33.505,0.27159,1.8648
931,125,124,23,115,26,223,29,470,75,23.96,2.0708,50.406,3.2352,47.922,6.9787,39.414,10.897,35.577,16.601,939.45,0.2973,124.77,0.16874,1.9872
764,30,140,15,92,10,237,14,295,17,31.051,1.4577,38.6,1.4316,80.524,4.3233,22.247,7.7218,58.367,14.139,765.02,0.13333,30.118,0.30864,1.6462
